"Month","Commodity","Point figure"
"2005M01","0 CPI",99.09
"2005M02","0 CPI",99.79
"2005M03","0 CPI",100.09
"2005M04","0 CPI",100.19
"2005M05","0 CPI",99.91
"2005M06","0 CPI",100.02
"2005M07","0 CPI",99.59
"2005M08","0 CPI",99.96
"2005M09","0 CPI",100.50
"2005M10","0 CPI",100.42
"2005M11","0 CPI",100.18
"2005M12","0 CPI",100.20
"2006M01","0 CPI",99.88
"2006M02","0 CPI",100.68
"2006M03","0 CPI",100.99
"2006M04","0 CPI",101.52
"2006M05","0 CPI",101.64
"2006M06","0 CPI",101.74
"2006M07","0 CPI",101.47
"2006M08","0 CPI",101.86
"2006M09","0 CPI",102.00
"2006M10","0 CPI",102.27
"2006M11","0 CPI",102.32
"2006M12","0 CPI",102.43
"2007M01","0 CPI",102.22
"2007M02","0 CPI",102.86
"2007M03","0 CPI",103.64
"2007M04","0 CPI",104.14
"2007M05","0 CPI",104.03
"2007M06","0 CPI",104.18
"2007M07","0 CPI",104.07
"2007M08","0 CPI",104.22
"2007M09","0 CPI",104.69
"2007M10","0 CPI",105.01
"2007M11","0 CPI",105.25
"2007M12","0 CPI",105.07
"2008M01","0 CPI",106.15
"2008M02","0 CPI",106.69
"2008M03","0 CPI",107.64
"2008M04","0 CPI",107.80
"2008M05","0 CPI",108.37
"2008M06","0 CPI",108.76
"2008M07","0 CPI",108.60
"2008M08","0 CPI",109.08
"2008M09","0 CPI",109.62
"2008M10","0 CPI",109.60
"2008M11","0 CPI",109.05
"2008M12","0 CPI",108.72
"2009M01","0 CPI",108.46
"2009M02","0 CPI",108.55
"2009M03","0 CPI",108.63
"2009M04","0 CPI",108.61
"2009M05","0 CPI",108.41
"2009M06","0 CPI",108.67
"2009M07","0 CPI",107.97
"2009M08","0 CPI",108.31
"2009M09","0 CPI",108.50
"2009M10","0 CPI",107.92
"2009M11","0 CPI",108.03
"2009M12","0 CPI",108.13
"2010M01","0 CPI",108.26
"2010M02","0 CPI",108.68
"2010M03","0 CPI",109.24
"2010M04","0 CPI",109.54
"2010M05","0 CPI",109.44
"2010M06","0 CPI",109.67
"2010M07","0 CPI",109.11
"2010M08","0 CPI",109.57
"2010M09","0 CPI",110.03
"2010M10","0 CPI",110.45
"2010M11","0 CPI",110.72
"2010M12","0 CPI",111.27
"2011M01","0 CPI",111.68
"2011M02","0 CPI",112.35
"2011M03","0 CPI",112.96
"2011M04","0 CPI",113.19
"2011M05","0 CPI",113.25
"2011M06","0 CPI",113.57
"2011M07","0 CPI",113.25
"2011M08","0 CPI",113.70
"2011M09","0 CPI",114.17
"2011M10","0 CPI",114.45
"2011M11","0 CPI",114.53
"2011M12","0 CPI",114.49
"2012M01","0 CPI",115.22
"2012M02","0 CPI",115.85
"2012M03","0 CPI",116.30
"2012M04","0 CPI",116.70
"2012M05","0 CPI",116.71
"2012M06","0 CPI",116.79
"2012M07","0 CPI",116.57
"2012M08","0 CPI",116.79
"2012M09","0 CPI",117.25
"2012M10","0 CPI",117.42
"2012M11","0 CPI",117.04
"2012M12","0 CPI",117.19
"2013M01","0 CPI",117.10
"2013M02","0 CPI",117.79
"2013M03","0 CPI",118.32
"2013M04","0 CPI",118.50
"2013M05","0 CPI",118.52
"2013M06","0 CPI",118.45
"2013M07","0 CPI",118.42
"2013M08","0 CPI",118.24
"2013M09","0 CPI",118.65
"2013M10","0 CPI",118.82
"2013M11","0 CPI",118.64
"2013M12","0 CPI",119.08
"2014M01","0 CPI",119.00
"2014M02","0 CPI",119.30
"2014M03","0 CPI",119.58
"2014M04","0 CPI",119.75
"2014M05","0 CPI",119.46
"2014M06","0 CPI",119.54
"2014M07","0 CPI",119.41
"2014M08","0 CPI",119.59
"2014M09","0 CPI",120.24
"2014M10","0 CPI",120.02
"2014M11","0 CPI",119.80
"2014M12","0 CPI",119.64
"2015M01","0 CPI",118.82
"2015M02","0 CPI",119.12
"2015M03","0 CPI",119.51
"2015M04","0 CPI",119.50
"2015M05","0 CPI",119.41
"2015M06","0 CPI",119.41
"2015M07","0 CPI",119.14
"2015M08","0 CPI",119.36
"2015M09","0 CPI",119.52
"2015M10","0 CPI",119.71
"2015M11","0 CPI",119.51
"2015M12","0 CPI",119.36
"2016M01","0 CPI",118.85
"2016M02","0 CPI",119.01
"2016M03","0 CPI",119.46
"2016M04","0 CPI",119.82
"2016M05","0 CPI",119.77
"2016M06","0 CPI",119.84
"2016M07","0 CPI",119.75
"2016M08","0 CPI",119.81
"2016M09","0 CPI",120.01
"2016M10","0 CPI",120.27
"2016M11","0 CPI",120.29
"2016M12","0 CPI",120.59
"2017M01","0 CPI",119.86
"2017M02","0 CPI",120.46
"2017M03","0 CPI",120.46
"2017M04","0 CPI",120.83
"2017M05","0 CPI",120.64
"2017M06","0 CPI",120.73
"2017M07","0 CPI",120.39
"2017M08","0 CPI",120.69
"2017M09","0 CPI",120.94
"2017M10","0 CPI",120.92
"2017M11","0 CPI",121.22
"2017M12","0 CPI",121.17
"2018M01","0 CPI",120.81
"2018M02","0 CPI",121.19
"2018M03","0 CPI",121.43
"2018M04","0 CPI",121.74
"2018M05","0 CPI",121.87
"2018M06","0 CPI",122.13
"2018M07","0 CPI",122.03
"2018M08","0 CPI",122.22
"2018M09","0 CPI",122.47
"2018M10","0 CPI",122.77
"2018M11","0 CPI",122.74
"2018M12","0 CPI",122.60
"2019M01","0 CPI",122.13
"2019M02","0 CPI",122.71
"2019M03","0 CPI",122.79
"2019M04","0 CPI",123.51
"2019M05","0 CPI",123.30
"2019M06","0 CPI",123.38
"2019M07","0 CPI",123.04
"2019M08","0 CPI",123.55
"2019M09","0 CPI",123.59
"2019M10","0 CPI",123.70
"2019M11","0 CPI",123.57
"2019M12","0 CPI",123.73
"2020M01","0 CPI",123.34
"2020M02","0 CPI",123.75
"2020M03","0 CPI",123.54
"2020M04","0 CPI",123.12
"2020M05","0 CPI",123.09
"2020M06","0 CPI",123.33
"2020M07","0 CPI",123.77
"2020M08","0 CPI",123.80
"2020M09","0 CPI",123.79
"2020M10","0 CPI",123.92
"2020M11","0 CPI",123.83
"2020M12","0 CPI",124.01
"2021M01","0 CPI",124.43
"2021M02","0 CPI",124.88
"2021M03","0 CPI",125.18
"2021M04","0 CPI",125.65
"2021M05","0 CPI",125.84
"2021M06","0 CPI",125.76
"2021M07","0 CPI",126.18
"2021M08","0 CPI",126.49
"2021M09","0 CPI",126.88
"2021M10","0 CPI",127.83
"2021M11","0 CPI",128.41
"2021M12","0 CPI",128.32
"2022M01","0 CPI",129.87
"2022M02","0 CPI",130.55
"2022M03","0 CPI",132.44
"2022M04","0 CPI",132.86
"2022M05","0 CPI",134.60
"2022M06","0 CPI",135.57
"2022M07","0 CPI",136.01
"2022M08","0 CPI",136.11
"2022M09","0 CPI",137.18
"2022M10","0 CPI",138.45
"2022M11","0 CPI",140.14
"2022M12","0 CPI",140.05
"2023M01","0 CPI",140.84
"2023M02","0 CPI",142.02
"2023M03","0 CPI",142.95
"2023M04","0 CPI",143.39
"2023M05","0 CPI",143.78
"2023M06","0 CPI",144.07
"2023M07","0 CPI",144.79
"2023M08","0 CPI",143.76
